r                        V(r)
1.686686686686686754e+00 -6.590762975731528917e-02
1.691691691691691757e+00 -6.250393494382651405e-02
1.696696696696696760e+00 -5.926806497120452877e-02
1.701701701701701763e+00 -5.619187987888041302e-02
1.706706706706706766e+00 -5.326763204135798874e-02
1.711711711711711770e+00 -5.048794749549118110e-02
1.716716716716716773e+00 -4.784580813357398876e-02
1.721721721721721776e+00 -4.533453472433362358e-02
1.726726726726726779e+00 -4.294777072535355122e-02
1.731731731731731783e+00 -4.067946685185778316e-02
1.736736736736736786e+00 -3.852386636816029775e-02
1.741741741741741789e+00 -3.647549106942033631e-02
1.746746746746746792e+00 -3.452912792264679898e-02
1.751751751751751796e+00 -3.267981633715850986e-02
1.756756756756756799e+00 -3.092283603593439997e-02
1.761761761761761802e+00 -2.925369550047609082e-02
1.766766766766766805e+00 -2.766812096295540729e-02
1.771771771771771808e+00 -2.616204592053109415e-02
1.776776776776776812e+00 -2.473160114779269017e-02
1.781781781781781815e+00 -2.337310518432488687e-02
1.786786786786786818e+00 -2.208305527538424046e-02
1.791791791791791821e+00 -2.085811874464136087e-02
1.796796796796796825e+00 -1.969512477886690635e-02
1.801801801801801828e+00 -1.859105660532962834e-02
1.806806806806806831e+00 -1.754304404352982280e-02
1.811811811811811834e+00 -1.654835641371294255e-02
1.816816816816816837e+00 -1.560439578539663322e-02
1.821821821821821841e+00 -1.470869054990112980e-02
1.826826826826826844e+00 -1.385888930159819878e-02
1.831831831831831847e+00 -1.305275501328950240e-02
1.836836836836836850e+00 -1.228815949179152059e-02
1.841841841841841854e+00 -1.156307810044218502e-02
1.846846846846846857e+00 -1.087558473585553687e-02
1.851851851851851860e+00 -1.022384704683534061e-02
1.856856856856856863e+00 -9.606121883918003479e-03
1.861861861861861867e+00 -9.020750968550188958e-03
1.866866866866866870e+00 -8.466156771418077709e-03
1.871871871871871873e+00 -7.940838589934235553e-03
1.876876876876876876e+00 -7.443368815355266496e-03
1.881881881881881879e+00 -6.972389380449948298e-03
1.886886886886886883e+00 -6.526608379063926664e-03
1.891891891891891886e+00 -6.104796849334213210e-03
1.896896896896896889e+00 -5.705785712695603598e-03
1.901901901901901892e+00 -5.328462861192147931e-03
1.906906906906906896e+00 -4.971770385961081160e-03
1.911911911911911899e+00 -4.634701940094567915e-03
1.916916916916916902e+00 -4.316300229407010226e-03
1.921921921921921905e+00 -4.015654624943364864e-03
1.926926926926926908e+00 -3.731898891357205914e-03
1.931931931931931912e+00 -3.464209025567049557e-03
1.936936936936936915e+00 -3.211801200366274159e-03
1.941941941941941918e+00 -2.973929807916249682e-03
1.946946946946946921e+00 -2.749885598294732423e-03
1.951951951951951925e+00 -2.538993908502770215e-03
1.956956956956956928e+00 -2.340612977553490140e-03
1.961961961961961931e+00 -2.154132343476142068e-03
1.966966966966966934e+00 -1.978971318268735527e-03
1.971971971971971938e+00 -1.814577537023157657e-03
1.976976976976976941e+00 -1.660425577628282107e-03
1.981981981981981944e+00 -1.516015647629464710e-03
1.986986986986986947e+00 -1.380872334987624447e-03
1.991991991991991950e+00 -1.254543419638040787e-03
1.996996996996996954e+00 -1.136598742898424150e-03
2.002002002002002179e+00 -1.026629131918207951e-03
2.007007007007007182e+00 -9.242453764965592690e-04
2.012012012012012185e+00 -8.290772557256370677e-04
2.017017017017017189e+00 -7.407726120386440511e-04
2.022022022022022192e+00 -6.589964703591653710e-04
2.027027027027027195e+00 -5.834302001597474084e-04
2.032032032032032198e+00 -5.137707183437634694e-04
2.037037037037037202e+00 -4.497297309655974617e-04
2.042042042042042205e+00 -3.910330119003250669e-04
2.047047047047047208e+00 -3.374197166655963772e-04
2.052052052052052211e+00 -2.886417296855406855e-04
2.057057057057057214e+00 -2.444630433694475668e-04
2.062062062062062218e+00 -2.046591674569020166e-04
2.067067067067067221e+00 -1.690165671561844529e-04
2.072072072072072224e+00 -1.373321286742495246e-04
2.077077077077077227e+00 -1.094126508046411100e-04
2.082082082082082231e+00 -8.507436130448001958e-05
2.087087087087087234e+00 -6.414245685328306534e-05
2.092092092092092237e+00 -4.645066544504505932e-05
2.097097097097097240e+00 -3.184083012081051749e-05
2.102102102102102243e+00 -2.016251300211388021e-05
2.107107107107107247e+00 -1.127261863617808838e-05
2.112112112112112250e+00 -5.035035711890931825e-06
2.117117117117117253e+00 -1.320296251328015140e-06
2.122122122122122256e+00 -5.251425149116820124e-09
2.127127127127127260e+00 0.000000000000000000e+00
2.132132132132132263e+00 0.000000000000000000e+00
2.137137137137137266e+00 0.000000000000000000e+00
2.142142142142142269e+00 0.000000000000000000e+00
2.147147147147147273e+00 0.000000000000000000e+00
